"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,6,0.285714285714286,0.13434872682066,0.507614865781306
"Runer et al., 2023","B-QT",45,1,0.0222222222222222,0.00312154491630224,0.141598243541086
"Ollivier et al., 2021","B-QT",340,5,0.0147058823529412,0.00613414129797387,0.0348357850651854
"Mutsuzaki et al., 2019","B-QT",8,0,0.0555555555555556,0.00338375453546199,0.504738157207305
"Lind et al., 2020b","B-QT",50,4,0.08,0.0303526420666292,0.194560459514257
"Lee et al., 2021","B-QT",155,6,0.0387096774193548,0.0174932826072747,0.0834718410730245
"Lee et al., 2014","B-QT",104,2,0.0192307692307692,0.00481472119186623,0.0736177708717166
"Kwak et al., 2018","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Kim et al., 2018","B-QT",75,3,0.04,0.0129583267872801,0.116795319649318
"Karpinski et al., 2021","B-QT",25,2,0.08,0.0200897420537418,0.269444569966818
"Irrgang et al., 2021","B-QT",57,3,0.0526315789473684,0.0170741916058898,0.15087202710342
"Han et al., 2008","B-QT",72,4,0.0555555555555556,0.0210082809103854,0.138856492612961
"Cavaignac et al., 2017","B-QT",45,1,0.0222222222222222,0.00312154491630224,0.141598243541086
"Barié et al., 2020","B-QT",30,1,0.0333333333333333,0.00467534553088576,0.202002440446537
"Barié et al., 2018","B-QT",57,7,0.12280701754386,0.0596887516262257,0.235923851593034
"Barié et al., 2010","B-QT",106,0,0.00467289719626168,0.000291669134886409,0.0702415016522471
"von Essen et al., 2022","S-QT",40,1,0.025,0.00351045030491939,0.157277102421807
"Todor et al., 2019","S-QT",39,0,0.0125,0.000777426735549711,0.170773915852854
"Schmücker et al., 2021","S-QT",223,11,0.0493273542600897,0.0275241942217023,0.086859156696238
"Renfree et al., 2023","S-QT",32,2,0.0625,0.0156824621888847,0.218113352263645
"Perez et al., 2019","S-QT",28,2,0.0714285714285714,0.0179303094893731,0.244765259339717
"Hunnicutt et al., 2021","S-QT",320,24,0.075,0.0507729247692878,0.109454385319076
"Hogan et al., 2022","S-QT",39,2,0.0512820512820513,0.0128606560334323,0.183186956169347
"Greif et al., 2022","S-QT",124,5,0.0403225806451613,0.016882799922907,0.0932199495240158
"Gille et al., 2009","S-QT",54,4,0.0740740740740741,0.028081640605252,0.181339057513261
"Brinkman et al., 2023","S-QT",37,3,0.0810810810810811,0.026385477603596,0.223168776246411
