"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Setliff et al., 2023","B-QT",48,3,0.0625,0.0202975856375987,0.176629279368114
"Runer et al., 2018","B-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Pomenta Bastidas et al., 2022","B-QT",20,0,0.0238095238095238,0.00147300212530511,0.287375374656742
"Ollivier et al., 2021","B-QT",340,1,0.00294117647058824,0.000414156346173188,0.0205697908141818
"Mutsuzaki et al., 2019","B-QT",8,0,0.0555555555555556,0.00338375453546199,0.504738157207305
"Lee et al., 2021","B-QT",155,6,0.0387096774193548,0.0174932826072747,0.0834718410730245
"Lee et al., 2014","B-QT",104,3,0.0288461538461538,0.0093334182142241,0.0856268582710563
"Irrgang et al., 2021","B-QT",57,5,0.087719298245614,0.0369869498667554,0.194018106071346
"Han et al., 2008","B-QT",72,1,0.0138888888888889,0.00195306930247039,0.0920412927372517
"GuimarĂŁes et al., 2009","B-QT",17,1,0.0588235294117647,0.00822047077163165,0.320319458645796
"Galan et al., 2020","B-QT",291,2,0.00687285223367698,0.00171955178776353,0.0270515068085514
"Fu et al., 2019","B-QT",57,5,0.087719298245614,0.0369869498667554,0.194018106071346
"BariĂ© et al., 2020","B-QT",30,0,0.0161290322580645,0.00100144548589752,0.211411388051798
"Setliff et al., 2023","S-QT",147,0,0.00337837837837838,0.000210992488583759,0.0516382324763981
"Perez et al., 2019","S-QT",28,0,0.0172413793103448,0.00106995591535905,0.223213776182557
"Hogan et al., 2022","S-QT",39,0,0.0125,0.000777426735549711,0.170773915852854
