"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,3,0.142857142857143,0.0467968678839005,0.361350547699575
"Setliff et al., 2023","B-QT",39,2,0.0512820512820513,0.0128606560334323,0.183186956169347
"Runer et al., 2023","B-QT",28,2,0.0714285714285714,0.0179303094893731,0.244765259339717
"Pomenta Bastidas et al., 2022","B-QT",20,12,0.6,0.380098076123112,0.785845447643147
"Mutsuzaki et al., 2019","B-QT",7,0,0.0625,0.00379313971134152,0.538588219163029
"Lund et al., 2014","B-QT",21,3,0.142857142857143,0.0467968678839005,0.361350547699575
"Lind et al., 2021","B-QT",782,192,0.245524296675192,0.216620153205337,0.276921842666389
"Lind et al., 2020b","B-QT",47,8,0.170212765957447,0.087477497925212,0.305040491127692
"Lind et al., 2020a","B-QT",392,94,0.239795918367347,0.200102302653514,0.284562299314369
"Lee et al., 2021","B-QT",139,59,0.424460431654676,0.345058078519166,0.507963185181051
"Lee et al., 2016","B-QT",48,16,0.333333333333333,0.215301340531172,0.47675845564136
"Lee et al., 2014","B-QT",104,24,0.230769230769231,0.159744600862667,0.321297367047529
"Lee et al., 2007a","B-QT",137,37,0.27007299270073,0.202394307722687,0.350439476076443
"Lee et al., 2004","B-QT",67,26,0.388059701492537,0.279520052110883,0.508972160317084
"Kwak et al., 2018","B-QT",45,16,0.355555555555556,0.230572715816998,0.503916408208563
"Kim et al., 2018","B-QT",75,20,0.266666666666667,0.178964363402459,0.377582498631774
"Kim et al., 2014","B-QT",142,25,0.176056338028169,0.121837385765626,0.24760034855867
"Kim et al., 2009d","B-QT",59,4,0.0677966101694915,0.0256799041260223,0.16713822832643
"Kim et al., 2009c","B-QT",29,0,0.0166666666666667,0.00103456793593855,0.217152405301124
"Karpinski et al., 2021","B-QT",25,0,0.0192307692307692,0.00119230250698162,0.243612434594825
"Jacquet et al., 2021","B-QT",91,19,0.208791208791209,0.137319690227132,0.304338671934528
"Irrgang et al., 2021","B-QT",55,3,0.0545454545454545,0.0176987959683957,0.155925624435206
"Horstmann et al., 2022","B-QT",23,0,0.0208333333333333,0.00129068926667992,0.259415668606598
"Guimarães et al., 2009","B-QT",17,0,0.0277777777777778,0.001715259621611,0.322081593174817
"Geib et al., 2009","B-QT",157,3,0.0191082802547771,0.00617596618545029,0.0575523284778829
"Cavaignac et al., 2017","B-QT",45,4,0.0888888888888889,0.0337660093700989,0.214063376152216
"Barié et al., 2018","B-QT",57,12,0.210526315789474,0.123625713857303,0.335151399606833
"Barié et al., 2010","B-QT",90,19,0.211111111111111,0.138896105086364,0.30746599642176
"Akoto et al., 2019","B-QT",41,8,0.195121951219512,0.100701118364617,0.344190852455766
"Akoto et al., 2015","B-QT",10,2,0.2,0.0504128148820928,0.540708000272697
"Akoto and Hoeher, 2012","B-QT",30,5,0.166666666666667,0.0711193869745338,0.343157310913508
"von Essen et al., 2022","S-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Setliff et al., 2023","S-QT",64,8,0.125,0.0637623231047121,0.230566821315109
"Schulz et al., 2013","S-QT",55,0,0.00892857142857143,0.000556217114013294,0.127275607956229
"Schmücker et al., 2021","S-QT",94,28,0.297872340425532,0.2142509144226,0.397615430671271
"Iriuchishima et al., 2017","S-QT",20,0,0.0238095238095238,0.00147300212530511,0.287375374656742
"Gille et al., 2009","S-QT",54,0,0.00909090909090909,0.00056628806288725,0.129334639801909
"Geib et al., 2009","S-QT",41,0,0.0119047619047619,0.000740609706240846,0.163777583627333
