"study","graft_type","ni","xi","yi","ci.lb","ci.ub"
"Yamasaki et al., 2023","B-QT",21,0,0.0227272727272727,0.00140676771597555,0.277409607130208
"Setliff et al., 2023","B-QT",39,0,0.0125,0.000777426735549711,0.170773915852854
"Runer et al., 2023","B-QT",28,0,0.0172413793103448,0.00106995591535905,0.223213776182557
"Pomenta Bastidas et al., 2022","B-QT",20,2,0.1,0.0251335843506808,0.323802008388713
"Mutsuzaki et al., 2019","B-QT",7,0,0.0625,0.00379313971134152,0.538588219163029
"Lund et al., 2014","B-QT",21,0,0.0227272727272727,0.00140676771597555,0.277409607130208
"Lind et al., 2021","B-QT",782,14,0.0179028132992327,0.0106308467760429,0.0299982993135047
"Lind et al., 2020b","B-QT",47,0,0.0104166666666667,0.00064847733847208,0.145851140455458
"Lind et al., 2020a","B-QT",392,4,0.0102040816326531,0.00383504584334246,0.0268652093909274
"Lee et al., 2021","B-QT",139,7,0.0503597122302158,0.0241959356787803,0.101861850767894
"Lee et al., 2016","B-QT",48,0,0.0102040816326531,0.000635305122108241,0.143238035322046
"Lee et al., 2014","B-QT",104,0,0.00476190476190476,0.000297212744744021,0.0714979774282216
"Lee et al., 2007a","B-QT",137,0,0.0036231884057971,0.000226256758093193,0.0552042735543878
"Lee et al., 2004","B-QT",67,3,0.0447761194029851,0.0145132401090987,0.129829486072795
"Kwak et al., 2018","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Kim et al., 2018","B-QT",75,0,0.00657894736842105,0.000410284031146313,0.0965369686157038
"Kim et al., 2014","B-QT",142,5,0.0352112676056338,0.0147316303268273,0.0817976804419267
"Kim et al., 2009d","B-QT",59,1,0.0169491525423729,0.00238247278769186,0.11069564922167
"Kim et al., 2009c","B-QT",29,0,0.0166666666666667,0.00103456793593855,0.217152405301124
"Karpinski et al., 2021","B-QT",25,0,0.0192307692307692,0.00119230250698162,0.243612434594825
"Jacquet et al., 2021","B-QT",91,19,0.208791208791209,0.137319690227132,0.304338671934528
"Irrgang et al., 2021","B-QT",55,4,0.0727272727272727,0.0275660137405216,0.178309356537029
"Horstmann et al., 2022","B-QT",23,0,0.0208333333333333,0.00129068926667992,0.259415668606598
"Guimarães et al., 2009","B-QT",17,0,0.0277777777777778,0.001715259621611,0.322081593174817
"Geib et al., 2009","B-QT",157,3,0.0191082802547771,0.00617596618545029,0.0575523284778829
"Cavaignac et al., 2017","B-QT",45,0,0.0108695652173913,0.000676531183441185,0.151374156496166
"Barié et al., 2018","B-QT",57,0,0.00862068965517241,0.0005371128768487,0.123348135185851
"Barié et al., 2010","B-QT",90,2,0.0222222222222222,0.00556457869011532,0.0845072293542999
"Akoto et al., 2019","B-QT",41,6,0.146341463414634,0.067256694293111,0.289551413667786
"Akoto et al., 2015","B-QT",10,1,0.1,0.0138816573287912,0.46723672928379
"Akoto and Hoeher, 2012","B-QT",30,4,0.133333333333333,0.0509570130705089,0.305947804073334
"von Essen et al., 2022","S-QT",40,0,0.0121951219512195,0.000758571800965484,0.167202610776328
"Setliff et al., 2023","S-QT",64,0,0.00769230769230769,0.000479473303191878,0.111324572881682
"Schulz et al., 2013","S-QT",55,0,0.00892857142857143,0.000556217114013294,0.127275607956229
"Schmücker et al., 2021","S-QT",94,1,0.0106382978723404,0.00149658348143347,0.0716160455170192
"Iriuchishima et al., 2017","S-QT",20,0,0.0238095238095238,0.00147300212530511,0.287375374656742
"Gille et al., 2009","S-QT",54,0,0.00909090909090909,0.00056628806288725,0.129334639801909
"Geib et al., 2009","S-QT",41,0,0.0119047619047619,0.000740609706240846,0.163777583627333
